,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"adjust_pt1 : -50, adjust_pt2 : -50",0.5390205101463739,75.0,0.6113398988064419,0.16233532641363316,49.0,0.7742146336650196,0.7140238816072013,7.0,0.7417914770030369,0.44189696359224034,19.0,0.5155464575242804,0.5530930602255599,0.0,0.5530930602255599
"adjust_pt1 : -30, adjust_pt2 : -50",0.5211883048652749,80.0,0.5964501539432929,0.1620331064434836,49.0,0.7727732768843064,0.6992897359896426,9.0,0.7346470821913661,0.41845622926053194,22.0,0.5013934999247815,0.5316090220768825,0.0,0.5316090220768825
"adjust_pt1 : -10, adjust_pt2 : -50",0.49721951148742694,85.0,0.5742024959618008,0.14799717372107415,50.0,0.7646520642255498,0.6566467241992842,11.0,0.6976871444617394,0.4068206224126652,23.0,0.49188311618985886,0.5125447035959185,1.0,0.5145867143672169
"adjust_pt1 : 0, adjust_pt2 : -50",0.2500810097521926,334.0,0.528504533942967,0.13645087000860637,51.0,0.7690867218666905,0.1693550032100504,133.0,0.5864701037088783,0.3938294512008999,25.0,0.484993676015923,0.2620742207633231,125.0,0.5200212884437592
"adjust_pt1 : 10, adjust_pt2 : -50",0.4624949309699093,106.0,0.5553442921115956,0.0848132160103047,55.0,0.7512027703769845,0.5840904755681879,22.0,0.6619692056439463,0.3837799799987826,27.0,0.4815352579230008,0.5067290102031523,2.0,0.5107828422847774
"adjust_pt1 : 30, adjust_pt2 : -50",0.43446004539076233,124.0,0.5400934681916536,0.024107299123444528,60.0,0.7473262728267803,0.5154504534550309,34.0,0.62999499866726,0.375056198923561,28.0,0.47507118530317727,0.5066718530919261,2.0,0.5107252279166615
"adjust_pt1 : 50, adjust_pt2 : -50",0.42099565551326273,133.0,0.5327569772363444,0.021138161939383202,60.0,0.6552830201208792,0.47339027748987605,43.0,0.6147498742403251,0.37139391492777907,28.0,0.4704322922418535,0.5066718530919261,2.0,0.5107252279166615
"adjust_pt1 : -50, adjust_pt2 : -30",0.5433909988637375,78.0,0.6196221102151253,0.01801015368589829,60.0,0.558314764262847,0.7473730419569924,0.0,0.7473730419569924,0.47476148070064694,18.0,0.5490719733320526,0.5575048729045249,0.0,0.5575048729045249
"adjust_pt1 : -30, adjust_pt2 : -30",0.5604384632448084,70.0,0.6299964285411499,0.17934856304803248,47.0,0.7413073939318676,0.7668898776606964,5.0,0.787958280893133,0.46746012967496847,18.0,0.5406278021458331,0.5500705175353553,0.0,0.5500705175353553
