,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
upper_hsv : [179 190  80],0.0832451476751416,388.0,0.21454237246357633,0.04382287074821359,47.0,0.1811345324259495,0.21247747907887038,29.0,0.25147651004904276,0.0776474966308404,60.0,0.14146735687536674,0.0,252.0,
upper_hsv : [179 200  80],0.1387505540052547,355.0,0.3152969578470663,0.04382287074821359,47.0,0.1811345324259495,0.3907200539300967,6.0,0.4036720999167297,0.08244745392286135,56.0,0.14240923859403323,0.004843935699498489,246.0,0.20344529937893654
upper_hsv : [179 210  80],0.1999045080315844,313.0,0.3948269722492976,0.04382287074821359,47.0,0.1811345324259495,0.5509005961210582,0.0,0.5509005961210582,0.08444426477336905,55.0,0.14398829762638568,0.03878151355610834,211.0,0.23836442478388536
upper_hsv : [179 220  80],0.27601962118225126,234.0,0.4374910995738683,0.04382287074821359,47.0,0.1811345324259495,0.6547282153056043,0.0,0.6547282153056043,0.08578296365206367,55.0,0.1462709508426214,0.15252425164795877,132.0,0.3203009284607134
upper_hsv : [179 230  80],0.3818528976244624,156.0,0.5064743453847471,0.04382287074821359,47.0,0.1811345324259495,0.7241636840674507,0.0,0.7241636840674507,0.08748555352679638,55.0,0.14917408485979383,0.36636322050731235,54.0,0.4662804624638521
upper_hsv : [179 190  90],0.11530959545394397,354.0,0.2610938697064303,0.060863135140220626,44.0,0.20963968770520436,0.26687692609000113,15.0,0.29015107662110584,0.1392392263697727,48.0,0.21786843655505614,0.0036030430678445228,247.0,0.18159337061936393
upper_hsv : [179 200  90],0.17707676696715982,307.0,0.34332315063357594,0.06094023162837502,44.0,0.209905242275514,0.4449176952145864,1.0,0.4473097258340197,0.14373549073601577,46.0,0.21973356629758733,0.024491851679374316,216.0,0.1714429617556202
upper_hsv : [179 210  90],0.23831519499478457,262.0,0.40616084308250916,0.061095451677768746,44.0,0.2104398891123146,0.581225629165697,0.0,0.581225629165697,0.14526391745689005,45.0,0.21954660252007246,0.07656596010682554,173.0,0.24423572084708906
upper_hsv : [179 220  90],0.31982435418753447,193.0,0.4597928357253897,0.061303785409765395,44.0,0.2111574830780808,0.6713036674693071,0.0,0.6713036674693071,0.1462550910825747,45.0,0.22104462629525495,0.21421465447916083,104.0,0.36474387114019274
upper_hsv : [179 230  90],0.4297832560208244,120.0,0.5301217593719897,0.06160575170733362,44.0,0.21219758921414913,0.7426598233490458,0.0,0.7426598233490458,0.14794232422750364,44.0,0.221082349688292,0.4369417127889622,32.0,0.5004968710128113
upper_hsv : [179 190 100],0.15919791824963456,305.0,0.3067826144992958,0.07176621808099655,44.0,0.247194751167877,0.34078878386750594,3.0,0.3463451227349109,0.2140706639240415,32.0,0.2818950326920546,0.016996324460815015,226.0,0.16473360631251474
upper_hsv : [179 200 100],0.2163158724721078,269.0,0.3757377072529215,0.0718750265208262,44.0,0.24756953579395688,0.5002300264006554,0.0,0.5002300264006554,0.21639654223621937,32.0,0.28495782294472455,0.041128001780497435,193.0,0.17566536353703988
