,Total,Total,Total,Total,V1,V1,V1,V1,V2,V2,V2,V2,T3,T3,T3,T3
,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score
"ising : (-1, -1, -1, -1)",0.4933219278996224,64.0,0.5740702741542921,-0.42535939078169627,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, -1, -1, 0)",0.4933133618069593,64.0,0.5740603059390447,-0.4253679568743594,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, -1, -1, 1)",0.5427190675778243,31.0,0.5823989994054481,-0.36057763571887896,0.4274300651722664,0.0,0.4274300651722664,0.13710748452710508,0.6671385339296914,0.0,0.6671385339296914,-0.33286146607030853,0.46447381486590894,31.0,0.5467520334992985,-0.5355261851340911
"ising : (-1, -1, 0, -1)",0.4933219278996224,64.0,0.5740702741542921,-0.42535939078169627,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, -1, 0, 0)",0.4933133618069593,64.0,0.5740603059390447,-0.4253679568743594,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, -1, 0, 1)",0.5607077049178604,20.0,0.5864873695117849,-0.3381933939832386,0.42052078910114893,0.0,0.42052078910114893,0.16245627297211665,0.6724717779743851,0.0,0.6724717779743851,-0.32752822202561493,0.5014441472434233,20.0,0.5553628727534689,-0.4985558527565767
"ising : (-1, -1, 1, -1)",0.5734077539240002,23.0,0.6039364074893984,-0.31230653179028556,0.3744319237586767,0.0,0.3744319237586767,0.2131416011780315,0.6920427926695629,0.0,0.6920427926695629,-0.30795720733043713,0.5256007113260869,23.0,0.5916598171211688,-0.47439928867391323
"ising : (-1, -1, 1, 0)",0.5964690389502935,9.0,0.6085054096914428,-0.28484964236838795,0.35637119743048656,0.0,0.35637119743048656,0.2273389393659704,0.7149250883410061,0.0,0.7149250883410061,-0.28507491165899385,0.5612010046695397,9.0,0.5868396292483512,-0.43879899533046035
"ising : (-1, -1, 1, 1)",0.5973529629168437,0.0,0.5973529629168437,-0.26198769642381564,0.17276235170791496,0.0,0.17276235170791496,0.17276235170791496,0.6427827979969929,0.0,0.6427827979969929,-0.35186960842011944,0.6839026655137644,0.0,0.6839026655137644,-0.31124296555419667
"ising : (-1, 0, -1, -1)",0.49330769982170314,64.0,0.5740537171838234,-0.4253736188596155,0.49421288183860523,0.0,0.49421288183860523,0.09098707538699237,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, 0, -1, 0)",0.49360056303363087,64.0,0.5743945170851714,-0.4250807556476878,0.49421288183860523,0.0,0.49421288183860523,0.09098707538699237,0.6213394960536756,0.0,0.6213394960536756,-0.37866050394632444,0.3774590861372388,64.0,0.5475814911568393,-0.6225409138627612
"ising : (-1, 0, -1, 1)",0.5376186316068815,32.0,0.5782895446362436,-0.36567807168982186,0.4297241848583024,0.0,0.4297241848583024,0.13940160421314113,0.6596061648996039,0.0,0.6596061648996039,-0.34039383510039617,0.45935546157131274,32.0,0.5438346269177611,-0.5406445384286873
"ising : (-1, 0, 0, -1)",0.4933219278996224,64.0,0.5740702741542921,-0.42535939078169627,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (-1, 0, 0, 0)",0.49279657606865557,65.0,0.5749293387467648,-0.4258847426126632,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6213394960536756,0.0,0.6213394960536756,-0.37866050394632444,0.3756518635910395,65.0,0.5488247085088946,-0.6243481364089605
"ising : (-1, 0, 0, 1)",0.5538846780804542,22.0,0.5820266247727636,-0.34281861862284263,0.4211957229987577,0.0,0.4211957229987577,0.1792602391277899,0.6676212114199062,0.0,0.6676212114199062,-0.33237878858009395,0.4905739182774816,22.0,0.5492294954628327,-0.5094260817225184
"ising : (-1, 0, 1, -1)",0.5369176206580547,36.0,0.5830489675403696,-0.34440106066062665,0.3867016111457142,0.0,0.3867016111457142,0.25766935308119804,0.6554309464708079,0.0,0.6554309464708079,-0.3445690535291921,0.47454577921524044,36.0,0.5750378265784678,-0.5254542207847596
"ising : (-1, 0, 1, 0)",0.5368928535245103,26.0,0.5694318143441776,-0.377392860761204,0.4203108313037404,0.0,0.4203108313037404,0.04934308936825657,0.6446734758542791,0.0,0.6446734758542791,-0.35532652414572086,0.47414095547606827,26.0,0.542627982378167,-0.5258590445239317
"ising : (-1, 0, 1, 1)",0.5824176564963907,0.0,0.5824176564963907,-0.2835164094376752,0.17950640940593596,0.0,0.17950640940593596,0.14724834488980693,0.6415891287465171,0.0,0.6415891287465171,-0.3530632776705952,0.6499682973159759,0.0,0.6499682973159759,-0.35003170268402406
"ising : (-1, 1, -1, -1)",0.43706471621107196,64.0,0.5086047209105824,-0.4376605585142028,0.4860553115771046,0.0,0.4860553115771046,0.40541015028678196,0.5188896355020189,0.0,0.5188896355020189,-0.4811103644979811,0.34804201320087236,64.0,0.5049060191505613,-0.6519579867991278
"ising : (-1, 1, -1, 0)",0.4173173214473922,71.0,0.4944775553608423,-0.49916619503612425,0.5319365205143688,0.0,0.5319365205143688,0.14483974632082036,0.49306475840277625,0.0,0.49306475840277625,-0.5069352415972237,0.31405925808423996,71.0,0.47923116418780315,-0.68594074191576
"ising : (-1, 1, -1, 1)",0.48224498935851423,56.0,0.5499284966369022,-0.4408319337184088,0.5009408846374693,0.0,0.5009408846374693,0.06545701366972735,0.5960673922066598,0.0,0.5960673922066598,-0.40393260779334017,0.3732938493590073,56.0,0.5126568864530366,-0.6267061506409927
"ising : (-1, 1, 0, -1)",0.43235086111043974,63.0,0.5018358209317605,-0.4445722158126372,0.48763754034135987,0.0,0.48763754034135987,0.39086334679297274,0.5064457695189216,0.0,0.5064457695189216,-0.49355423048107844,0.3484502689516867,63.0,0.5019633245038283,-0.6515497310483134
"ising : (-1, 1, 0, 0)",0.41058173224597155,71.0,0.486496583781034,-0.5080995864353471,0.5327927958586139,0.0,0.5327927958586139,0.129566989407001,0.4823403524567325,0.0,0.4823403524567325,-0.5176596475432675,0.3086596549479321,71.0,0.47099176977240015,-0.6913403450520679
"ising : (-1, 1, 0, 1)",0.4537687987879081,53.0,0.5135940384290999,-0.469308124289015,0.5283639128859507,0.0,0.5283639128859507,0.09288004191820892,0.5495300404111872,0.0,0.5495300404111872,-0.4504699595888128,0.3443889480227049,53.0,0.46368708034429557,-0.655611051977295
"ising : (-1, 1, 1, -1)",0.4126175818797023,69.0,0.48637564703436414,-0.4687010994389789,0.453901277672163,0.0,0.453901277672163,0.3248690196076468,0.46623408155395746,0.0,0.46623408155395746,-0.5337659184460425,0.35152110334466224,69.0,0.5285645787518279,-0.6484788966553376
"ising : (-1, 1, 1, 0)",0.4167195830524736,67.0,0.4886788924971018,-0.5151485488156583,0.5336925916825336,0.0,0.5336925916825336,0.03369259168253362,0.47291170747119343,0.0,0.47291170747119343,-0.5270882925288065,0.330504758774006,67.0,0.48981280796723187,-0.6694952412259941
"ising : (-1, 1, 1, 1)",0.40601278175174266,52.0,0.4584015277842256,-0.5610201852812244,0.54518067540116,0.0,0.54518067540116,-0.21288384072787214,0.46541771991196523,0.0,0.46541771991196523,-0.5345822800880348,0.3102014572749198,52.0,0.414944806484633,-0.6897985427250802
"ising : (0, -1, -1, -1)",0.4933219278996224,64.0,0.5740702741542921,-0.42535939078169627,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (0, -1, -1, 0)",0.49338218869547185,64.0,0.5741403986098201,-0.4252991299858468,0.49426107752846593,0.0,0.49426107752846593,0.09103527107685308,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3775443926321525,64.0,0.5477052456494607,-0.6224556073678474
"ising : (0, -1, -1, 1)",0.5357803208748079,38.0,0.5846044268538071,-0.36751638242189544,0.43581173134092127,0.0,0.43581173134092127,0.14548915069575996,0.6622095228219825,0.0,0.6622095228219825,-0.3377904771780174,0.45109969848150344,38.0,0.5531341540904149,-0.5489003015184966
"ising : (0, -1, 0, -1)",0.4933219278996224,64.0,0.5740702741542921,-0.42535939078169627,0.49431729757172266,0.0,0.49431729757172266,0.0910914911201098,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (0, -1, 0, 0)",0.49330570105381216,64.0,0.5740513912518785,-0.4253756176275065,0.49426107752846593,0.0,0.49426107752846593,0.09103527107685308,0.6206982041040181,0.0,0.6206982041040181,-0.37930179589598184,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
"ising : (0, -1, 0, 1)",0.5539409737263832,23.0,0.583433201494223,-0.34496012517471575,0.42070747532961195,0.0,0.42070747532961195,0.16264295920057958,0.6696314312075846,0.0,0.6696314312075846,-0.3303685687924154,0.48902039776334993,23.0,0.5504819778101098,-0.5109796022366501
"ising : (0, -1, 1, -1)",0.5629103152952081,29.0,0.6012305010782152,-0.32280397041907777,0.3709952448073716,0.0,0.3709952448073716,0.20970492222672646,0.6861456435824416,0.0,0.6861456435824416,-0.31385435641755854,0.5088021986958545,29.0,0.5921652707985652,-0.4911978013041455
"ising : (0, -1, 1, 0)",0.5886114109936882,10.0,0.6018386337126475,-0.29270727032499305,0.3596911784590824,0.0,0.3596911784590824,0.23065892039456629,0.704845359630479,0.0,0.704845359630479,-0.2951546403695207,0.5519963916833275,10.0,0.5801594728916605,-0.4480036083166726
"ising : (0, -1, 1, 1)",0.5878608089554032,0.0,0.5878608089554032,-0.26928204818745394,0.17574045528499624,0.0,0.17574045528499624,0.17574045528499624,0.6398998365591412,0.0,0.6398998365591412,-0.34405738269219577,0.6646577204392198,0.0,0.6646577204392198,-0.3353422795607801
"ising : (0, 0, -1, -1)",0.49330769982170314,64.0,0.5740537171838234,-0.4253736188596155,0.49421288183860523,0.0,0.49421288183860523,0.09098707538699237,0.6207190467358993,0.0,0.6207190467358993,-0.3792809532641008,0.3773754514818847,64.0,0.5474601620089313,-0.6226245485181152
