,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"upper_hsv : [179, 235, 120], lower_hsv : [0, 0, 0]",0.5783275074938348,61.0,0.639894659251468,0.09620482707064794,38.0,0.24852913659917383,0.7945586829336111,3.0,0.8075134440683982,0.36770929874077035,20.0,0.4327905905532961,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [10, 0, 0]",0.5783139239141751,61.0,0.6398796296013736,0.09606592401412958,38.0,0.2481703037031681,0.7945586829336111,3.0,0.8075134440683982,0.36770929874077035,20.0,0.4327905905532961,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [20, 0, 0]",0.5780837469307334,64.0,0.6429913957089209,0.0937121787318376,41.0,0.2766740514939967,0.7945586829336111,3.0,0.8075134440683982,0.36770929874077035,20.0,0.4327905905532961,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [30, 0, 0]",0.5770290117494902,67.0,0.6452140977939625,0.08802757505499612,44.0,0.30320609185609776,0.7945586829336111,3.0,0.8075134440683982,0.3653314289893112,20.0,0.42999185889892383,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [40, 0, 0]",0.575257448051997,70.0,0.6466546490513583,0.0846086683814403,47.0,0.3497158293099532,0.7945586829336111,3.0,0.8075134440683982,0.3584803074069792,20.0,0.4219281494259136,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [50, 0, 0]",0.5728262193950694,71.0,0.645065405144714,0.07905250597812452,48.0,0.3500896693316943,0.7945586829336111,3.0,0.8075134440683982,0.3494809322228697,20.0,0.41133596447470505,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [60, 0, 0]",0.5695557401377953,71.0,0.6413824853416735,0.07791869891137677,48.0,0.3450685237503829,0.7945586829336111,3.0,0.8075134440683982,0.33441936973434777,20.0,0.39360863871387836,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [70, 0, 0]",0.5636555568073304,71.0,0.6347382291578108,0.0709657181557722,48.0,0.3142767518327054,0.7945586829336111,3.0,0.8075134440683982,0.3095349229323386,20.0,0.36431986504425695,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [80, 0, 0]",0.5538638935526394,75.0,0.6281747916142636,0.06436798078170006,49.0,0.3069857544973387,0.7945586829336111,3.0,0.8075134440683982,0.26593451100540877,23.0,0.3215389996701761,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [90, 0, 0]",0.51418108224202,124.0,0.639197659100864,0.04977811678492539,51.0,0.28056756733321586,0.7945586829336111,3.0,0.8075134440683982,0.0835711215081711,70.0,0.17642792318391678,0.6476473413952512,0.0,0.6476473413952512
"upper_hsv : [179, 235, 120], lower_hsv : [100, 0, 0]",0.2692451495612125,367.0,0.6393311791078978,0.0,62.0,,0.7312046889549974,3.0,0.7431265045357854,0.0005198237794815445,132.0,0.06913656267104543,0.13451195009743325,170.0,0.41337818810430704
