,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"adjust_pt1 : -20, adjust_pt2 : -20",0.6446077893669696,22.0,0.66777996480173,0.4484000317892502,13.0,0.5673633055292554,0.7991456465358324,0.0,0.7991456465358324,0.6192647758620928,1.0,0.6239561756792299,0.59157970395185,8.0,0.6109757598191238
"adjust_pt1 : -20, adjust_pt2 : -10",0.6400221573380678,35.0,0.6774191114396243,0.3149444892732282,26.0,0.5424043981927819,0.8175162835916095,0.0,0.8175162835916095,0.6247000139435699,1.0,0.6294325898067787,0.5963763592510676,8.0,0.615929682505201
"adjust_pt1 : -20, adjust_pt2 : 0",0.6482835253082574,36.0,0.6873106271662796,0.28172723605760797,27.0,0.4990596753020484,0.8326181755444466,0.0,0.8326181755444466,0.6344042645555511,1.0,0.6392103574688507,0.6090051603062051,8.0,0.6289725426113266
"adjust_pt1 : -20, adjust_pt2 : 10",0.6666054757247549,25.0,0.6939702325279058,0.3796293228835472,16.0,0.5116743047560854,0.8467523899657207,0.0,0.8467523899657207,0.6369190608131421,1.0,0.6417442052132416,0.6191981015038771,8.0,0.6394996786023649
"adjust_pt1 : -20, adjust_pt2 : 20",0.6092285692658483,90.0,0.7100200605046836,0.4370903738939129,3.0,0.4593153081597051,0.8511415862257945,0.0,0.8511415862257945,0.6469374767072058,0.0,0.6469374767072058,0.4521632885192195,87.0,0.6905766588293534
"adjust_pt1 : -10, adjust_pt2 : -20",0.6392106351519309,22.0,0.6621887952390918,0.4631425790069035,13.0,0.5860171407842452,0.7798297508142851,0.0,0.7798297508142851,0.6168941648046549,1.0,0.6215676054471143,0.5899587915341497,8.0,0.6093017027319906
"adjust_pt1 : -10, adjust_pt2 : -10",0.6423592148154084,23.0,0.6665396762569049,0.427313632434857,14.0,0.551946775228357,0.7955475734597489,0.0,0.7955475734597489,0.6221970260706129,1.0,0.6269106399044813,0.5922329217366793,8.0,0.6116503945805049
"adjust_pt1 : -10, adjust_pt2 : 0",0.639434497238052,36.0,0.6779288816871655,0.29419656971153174,27.0,0.5211482092032848,0.8114548304547832,0.0,0.8114548304547832,0.6312407543339866,1.0,0.6360228812607592,0.6010484535926401,8.0,0.6207549602678086
"adjust_pt1 : -10, adjust_pt2 : 10",0.6549808093643166,28.0,0.6852439490709187,0.3634166434281943,19.0,0.5239960905243731,0.8248746529941986,0.0,0.8248746529941986,0.6372870911379583,1.0,0.6421150236465792,0.609981182591925,8.0,0.6299805656277259
"adjust_pt1 : -10, adjust_pt2 : 20",0.6698273122606665,17.0,0.6882828459858389,0.4347884052375584,8.0,0.49920150230978927,0.8407914081035758,0.0,0.8407914081035758,0.635622223319919,1.0,0.6404375431935547,0.6188408167921273,8.0,0.6391306796377708
"adjust_pt1 : 0, adjust_pt2 : -20",0.6266090787865085,28.0,0.6555613134499116,0.47671574494751445,13.0,0.6031913507499163,0.7364948701695756,6.0,0.7609090647608323,0.612197434470154,1.0,0.6168352938222005,0.5895515089589659,8.0,0.6088810666297516
"adjust_pt1 : 0, adjust_pt2 : -10",0.6403321878117816,22.0,0.6633506651514207,0.46672640060685683,13.0,0.5905517721964311,0.7784482107533891,0.0,0.7784482107533891,0.6211027976843148,1.0,0.625808121909196,0.5907027092545506,8.0,0.6100700111973227
"adjust_pt1 : 0, adjust_pt2 : 0",0.6396263024489681,28.0,0.6691799929911647,0.38647283282736034,19.0,0.5572398984952638,0.7918988093581913,0.0,0.7918988093581913,0.628141814570434,1.0,0.6329004646808162,0.5949754818630952,8.0,0.6144828747110656
"adjust_pt1 : 0, adjust_pt2 : 10",0.6581510875012568,17.0,0.6762849100093952,0.46642552524602293,8.0,0.5355256030602485,0.8092142833508513,0.0,0.8092142833508513,0.6355753629595378,1.0,0.6403903278304434,0.6051381454377607,8.0,0.6249787403701462
"adjust_pt1 : 0, adjust_pt2 : 20",0.6705371354088093,9.0,0.6801928701586962,0.5371330333943866,0.0,0.5371330333943866,0.8198933452531747,0.0,0.8198933452531747,0.6362508568335924,1.0,0.6410709390823317,0.6106225248314353,8.0,0.6306429354816463
"adjust_pt1 : 10, adjust_pt2 : -20",0.6226490798358223,29.0,0.6524950687866303,0.4897501579287799,13.0,0.6196838732976399,0.7201388055192028,7.0,0.7481442035116164,0.6104205833310218,1.0,0.6150449816895901,0.5894567960682943,8.0,0.6087832483984023
"adjust_pt1 : 10, adjust_pt2 : -10",0.6326746793040399,26.0,0.6597298465111205,0.4817274133167491,13.0,0.6095326454211928,0.7494514286538335,4.0,0.7658328806462671,0.6202252189073658,1.0,0.6249238948081791,0.5897272848419697,8.0,0.6090626056564605
"adjust_pt1 : 10, adjust_pt2 : 0",0.6425339247499313,22.0,0.6656315494958439,0.47044990687236704,13.0,0.5952631474711583,0.778786628600378,0.0,0.778786628600378,0.6252232862015616,1.0,0.6299598262485431,0.5929000692551243,8.0,0.6123394157880792
