,Total,Total,Total,Total,V1,V1,V1,V1,V2,V2,V2,V2,T3,T3,T3,T3
,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score,Mean IoU,No box,Mean IoU adjusted,Mean score
"upper_hsv : [179, 185, 60]",0.09281424858644131,306.0,0.2834260611196698,-0.9071857514135587,0.00762061852230602,53.0,0.0524975942647748,-0.992379381477694,0.13286049076254625,108.0,0.3144925540834956,-0.8671395092374536,0.08210239313520229,145.0,0.27726381944019135,-0.9178976068647977
"upper_hsv : [179, 185, 70]",0.1450203068913292,240.0,0.3069034401653711,-0.8549796931086708,0.06514611889411427,50.0,0.3365882809529237,-0.9348538811058859,0.16523558273706498,86.0,0.3059312274438728,-0.8347644172629349,0.15070935093343957,104.0,0.30437378717929947,-0.8492906490665605
"upper_hsv : [179, 185, 80]",0.1837929094059399,209.0,0.33994216983618963,-0.8162070905940602,0.1380171215687214,45.0,0.5033565610153368,-0.8619828784312786,0.19651830338599965,64.0,0.2987717295380645,-0.8034816966140004,0.18601839567601938,100.0,0.36150744820056596,-0.8139816043239807
"upper_hsv : [179, 185, 90]",0.22127441452199337,160.0,0.3412876562966339,-0.7787255854780066,0.2479344642771187,13.0,0.3137129956159461,-0.7520655357228813,0.229821275979351,47.0,0.3069755614867046,-0.7701787240206489,0.20549195735042222,100.0,0.3993522944734621,-0.7945080426495778
"upper_hsv : [179, 185, 100]",0.2642668218557569,129.0,0.3688386624060411,-0.7357331781442431,0.3642152769537765,3.0,0.3827346978158329,-0.6357847230462236,0.27960953112394277,27.0,0.3267936395011081,-0.7203904688760572,0.22025764297600942,99.0,0.424047424794934,-0.7797423570239904
"upper_hsv : [179, 185, 110]",0.3062021610594554,123.0,0.41964452795798857,-0.6937978389405446,0.5335761799615019,0.0,0.5335761799615019,-0.46642382003849814,0.3149776172015557,24.0,0.3613546896729504,-0.6850223827984442,0.22980313450363185,99.0,0.442424726240637,-0.7701968654963682
"upper_hsv : [179, 185, 120]",0.33932342290873985,116.0,0.4554340926946213,-0.6606765770912602,0.6430621655412848,0.0,0.6430621655412848,-0.35693783445871546,0.3475762788637607,17.0,0.3823339067501368,-0.6524237211362393,0.24041523792424127,99.0,0.46285550478872617,-0.7595847620757586
"upper_hsv : [179, 185, 130]",0.3670771969591648,111.0,0.48552361807098837,-0.6263293964474286,0.690568368358385,1.0,0.701889161282293,-0.2610445348674215,0.38886995186446205,11.0,0.41317432385599095,-0.611130048135538,0.24993303291041608,99.0,0.4811794839209879,-0.7500669670895839
"upper_hsv : [179, 185, 140]",0.3853139799594227,109.0,0.5066990198888361,-0.6058948112493686,0.664754621992483,5.0,0.7230664309391921,-0.2707292489752589,0.43652596557394996,5.0,0.4485184371556519,-0.56347403442605,0.2547219357071588,99.0,0.4903992407072403,-0.7452780642928412
"upper_hsv : [179, 185, 150]",0.3878929853526447,109.0,0.5100904865186513,-0.5923267948671355,0.4920255502930019,7.0,0.5546469839666567,-0.36281315938441744,0.48590894562034176,4.0,0.49652990618034926,-0.5140910543796582,0.26757646304021027,98.0,0.5103773276507715,-0.7324235369597898
"upper_hsv : [179, 185, 160]",0.39790596650743254,97.0,0.5057184769857034,-0.5361599675585015,0.4331611303134384,0.0,0.4331611303134384,-0.08296790194462608,0.5142884496185912,1.0,0.5170534412832073,-0.4857115503814088,0.28164701263481584,96.0,0.5274480418433825,-0.718352987365184
