,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"upper_yuv : [30, 140, 255], lower_yuv : [0, 0, 90]",0.13577299860819317,292.0,0.2516961436186973,0.0,62.0,,0.3120637459684063,0.0,0.3120637459684063,0.07574209847177979,32.0,0.09973959501729417,0.07004151398712612,198.0,0.3268603986065885
"upper_yuv : [30, 140, 255], lower_yuv : [0, 0, 100]",0.13577299860819317,292.0,0.2516961436186973,0.0,62.0,,0.3120637459684063,0.0,0.3120637459684063,0.07574209847177979,32.0,0.09973959501729417,0.07004151398712612,198.0,0.3268603986065885
"upper_yuv : [30, 140, 255], lower_yuv : [0, 0, 110]",0.11834125932685971,323.0,0.24124874087855003,0.0,62.0,,0.2914681149160464,5.0,0.2994754807104433,0.07530347783974839,32.0,0.09916200547214392,0.041700231631912076,224.0,0.3753020846872087
"upper_yuv : [30, 140, 255], lower_yuv : [0, 0, 120]",0.01565185082672374,519.0,0.08628933412298131,0.0,62.0,,0.004713185657215325,172.0,0.05875771452661771,0.06798426846799688,33.0,0.09041907706243585,0.0,252.0,
"upper_yuv : [30, 150, 255], lower_yuv : [0, 0, 90]",0.11854301624590918,381.0,0.2970603648217645,0.023152854837035292,44.0,0.07974872221645489,0.3109291714966055,0.0,0.3109291714966055,0.0,133.0,,0.06181365170692461,204.0,0.3245216714613542
"upper_yuv : [30, 150, 255], lower_yuv : [0, 0, 100]",0.11854301624590918,381.0,0.2970603648217645,0.023152854837035292,44.0,0.07974872221645489,0.3109291714966055,0.0,0.3109291714966055,0.0,133.0,,0.06181365170692461,204.0,0.3245216714613542
"upper_yuv : [30, 150, 255], lower_yuv : [0, 0, 110]",0.11885927341682033,307.0,0.23044886650233667,0.007748093895888679,54.0,0.060047727693137265,0.2900669026285057,2.0,0.29320276103530035,0.07530347783974839,32.0,0.09916200547214392,0.04213700071627733,219.0,0.32177346001520873
"upper_yuv : [30, 150, 255], lower_yuv : [0, 0, 120]",0.01565185082672374,519.0,0.08628933412298131,0.0,62.0,,0.004713185657215325,172.0,0.05875771452661771,0.06798426846799688,33.0,0.09041907706243585,0.0,252.0,
"upper_yuv : [30, 160, 255], lower_yuv : [0, 0, 90]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 160, 255], lower_yuv : [0, 0, 100]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 160, 255], lower_yuv : [0, 0, 110]",0.11885927341682033,307.0,0.23044886650233667,0.007748093895888679,54.0,0.060047727693137265,0.2900669026285057,2.0,0.29320276103530035,0.07530347783974839,32.0,0.09916200547214392,0.04213700071627733,219.0,0.32177346001520873
"upper_yuv : [30, 160, 255], lower_yuv : [0, 0, 120]",0.01565185082672374,519.0,0.08628933412298131,0.0,62.0,,0.004713185657215325,172.0,0.05875771452661771,0.06798426846799688,33.0,0.09041907706243585,0.0,252.0,
"upper_yuv : [30, 170, 255], lower_yuv : [0, 0, 90]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 170, 255], lower_yuv : [0, 0, 100]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 170, 255], lower_yuv : [0, 0, 110]",0.11885927341682033,307.0,0.23044886650233667,0.007748093895888679,54.0,0.060047727693137265,0.2900669026285057,2.0,0.29320276103530035,0.07530347783974839,32.0,0.09916200547214392,0.04213700071627733,219.0,0.32177346001520873
"upper_yuv : [30, 170, 255], lower_yuv : [0, 0, 120]",0.01565185082672374,519.0,0.08628933412298131,0.0,62.0,,0.004713185657215325,172.0,0.05875771452661771,0.06798426846799688,33.0,0.09041907706243585,0.0,252.0,
"upper_yuv : [30, 180, 255], lower_yuv : [0, 0, 90]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 180, 255], lower_yuv : [0, 0, 100]",0.11579339151792728,385.0,0.2948313663548831,0.023152854837035292,44.0,0.07974872221645489,0.30161219094627045,4.0,0.3082048071418173,0.0,133.0,,0.061809736172687035,204.0,0.32450111490660694
"upper_yuv : [30, 180, 255], lower_yuv : [0, 0, 110]",0.11885927341682033,307.0,0.23044886650233667,0.007748093895888679,54.0,0.060047727693137265,0.2900669026285057,2.0,0.29320276103530035,0.07530347783974839,32.0,0.09916200547214392,0.04213700071627733,219.0,0.32177346001520873
"upper_yuv : [30, 180, 255], lower_yuv : [0, 0, 120]",0.01565185082672374,519.0,0.08628933412298131,0.0,62.0,,0.004713185657215325,172.0,0.05875771452661771,0.06798426846799688,33.0,0.09041907706243585,0.0,252.0,
"upper_yuv : [40, 140, 255], lower_yuv : [0, 0, 90]",0.33348168113408805,135.0,0.4237021760300838,0.0,62.0,,0.6240674709272112,0.0,0.6240674709272112,0.09272614383680801,13.0,0.10277147608579555,0.3269610779576504,60.0,0.4291364148194161
"upper_yuv : [40, 140, 255], lower_yuv : [0, 0, 100]",0.33337465584409537,135.0,0.4235661960023176,0.0,62.0,,0.6239156667035392,0.0,0.6239156667035392,0.09249643352530165,13.0,0.10251688049054267,0.3269257002886093,60.0,0.4290899816287997
"upper_yuv : [40, 140, 255], lower_yuv : [0, 0, 110]",0.24996607541434868,202.0,0.3668483606775395,0.0,62.0,,0.5412660876701412,0.0,0.5412660876701412,0.08931180830626438,15.0,0.10066500427739968,0.18009231314939483,125.0,0.35734852687911417
"upper_yuv : [40, 140, 255], lower_yuv : [0, 0, 120]",0.03455305988260611,457.0,0.1237663274891089,0.0,62.0,,0.0648692338711375,116.0,0.1708527709000382,0.07350446038849294,27.0,0.09222729463839209,0.0,252.0,
"upper_yuv : [40, 150, 255], lower_yuv : [0, 0, 90]",0.285217253250965,193.0,0.4100402234945846,0.04073372629496815,18.0,0.05739752341563695,0.6342698720159178,0.0,0.6342698720159178,0.02517455996260274,56.0,0.04348333084449564,0.22359351186040072,119.0,0.42365086457760137
"upper_yuv : [40, 150, 255], lower_yuv : [0, 0, 100]",0.2778785121285599,264.0,0.4761485856473162,0.02702122713940748,24.0,0.04408726533271747,0.632058950402124,0.0,0.632058950402124,0.0003070210048590164,121.0,0.0034028161371874315,0.22326905987309648,119.0,0.42303611344376174
"upper_yuv : [40, 150, 255], lower_yuv : [0, 0, 110]",0.2443340150814923,187.0,0.34654981109992417,0.007748093895888679,54.0,0.060047727693137265,0.5067212601393549,0.0,0.5067212601393549,0.0893983924952259,15.0,0.1007625949310597,0.18960524560395484,118.0,0.3565710588969897
"upper_yuv : [40, 150, 255], lower_yuv : [0, 0, 120]",0.03455305988260611,457.0,0.1237663274891089,0.0,62.0,,0.0648692338711375,116.0,0.1708527709000382,0.07350446038849294,27.0,0.09222729463839209,0.0,252.0,
"upper_yuv : [40, 160, 255], lower_yuv : [0, 0, 90]",0.21573831607833796,80.0,0.2468918635264734,0.04138913953189856,18.0,0.05832106024949342,0.4217805715932161,0.0,0.4217805715932161,0.02540868237034658,53.0,0.04224193444070119,0.20618906388690886,9.0,0.2138256958827203
"upper_yuv : [40, 160, 255], lower_yuv : [0, 0, 100]",0.2558189461038717,220.0,0.3917613812315329,0.02702122713940748,24.0,0.04408726533271747,0.5665857519918815,0.0,0.5665857519918815,0.0003070210048590164,121.0,0.0034028161371874315,0.2163552632185844,75.0,0.30803122220950996
"upper_yuv : [40, 160, 255], lower_yuv : [0, 0, 110]",0.2443340150814923,187.0,0.34654981109992417,0.007748093895888679,54.0,0.060047727693137265,0.5067212601393549,0.0,0.5067212601393549,0.0893983924952259,15.0,0.1007625949310597,0.18960524560395484,118.0,0.3565710588969897
"upper_yuv : [40, 160, 255], lower_yuv : [0, 0, 120]",0.03455305988260611,457.0,0.1237663274891089,0.0,62.0,,0.0648692338711375,116.0,0.1708527709000382,0.07350446038849294,27.0,0.09222729463839209,0.0,252.0,
"upper_yuv : [40, 170, 255], lower_yuv : [0, 0, 90]",0.2007974626567312,80.0,0.22979348614506784,0.04138913953189856,18.0,0.05832106024949342,0.40783024995507144,0.0,0.40783024995507144,0.02540868237034658,53.0,0.04224193444070119,0.17895179831958502,9.0,0.1855796427017919
"upper_yuv : [40, 170, 255], lower_yuv : [0, 0, 100]",0.25480389786076424,221.0,0.39115174635284394,0.02702122713940748,24.0,0.04408726533271747,0.5665857519918815,0.0,0.5665857519918815,0.0003070210048590164,121.0,0.0034028161371874315,0.21380153073394112,76.0,0.3061249190054157
"upper_yuv : [40, 170, 255], lower_yuv : [0, 0, 110]",0.2443340150814923,187.0,0.34654981109992417,0.007748093895888679,54.0,0.060047727693137265,0.5067212601393549,0.0,0.5067212601393549,0.0893983924952259,15.0,0.1007625949310597,0.18960524560395484,118.0,0.3565710588969897
"upper_yuv : [40, 170, 255], lower_yuv : [0, 0, 120]",0.03455305988260611,457.0,0.1237663274891089,0.0,62.0,,0.0648692338711375,116.0,0.1708527709000382,0.07350446038849294,27.0,0.09222729463839209,0.0,252.0,
"upper_yuv : [40, 180, 255], lower_yuv : [0, 0, 90]",0.2007974626567312,80.0,0.22979348614506784,0.04138913953189856,18.0,0.05832106024949342,0.40783024995507144,0.0,0.40783024995507144,0.02540868237034658,53.0,0.04224193444070119,0.17895179831958502,9.0,0.1855796427017919
"upper_yuv : [40, 180, 255], lower_yuv : [0, 0, 100]",0.25480389786076424,221.0,0.39115174635284394,0.02702122713940748,24.0,0.04408726533271747,0.5665857519918815,0.0,0.5665857519918815,0.0003070210048590164,121.0,0.0034028161371874315,0.21380153073394112,76.0,0.3061249190054157
"upper_yuv : [40, 180, 255], lower_yuv : [0, 0, 110]",0.2443340150814923,187.0,0.34654981109992417,0.007748093895888679,54.0,0.060047727693137265,0.5067212601393549,0.0,0.5067212601393549,0.0893983924952259,15.0,0.1007625949310597,0.18960524560395484,118.0,0.3565710588969897
"upper_yuv : [40, 180, 255], lower_yuv : [0, 0, 120]",0.03455305988260611,457.0,0.1237663274891089,0.0,62.0,,0.0648692338711375,116.0,0.1708527709000382,0.07350446038849294,27.0,0.09222729463839209,0.0,252.0,
