,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"upper_yuv : [70, 140, 255], lower_yuv : [0, 0, 70]",0.4179890779348625,54.0,0.45690530243224625,0.10420265213065123,34.0,0.23073444400358487,0.6766572538091792,0.0,0.6766572538091792,0.19868838392962795,0.0,0.19868838392962795,0.41898432322875184,20.0,0.45510366143812697
"upper_yuv : [70, 140, 255], lower_yuv : [0, 0, 80]",0.4179061478232461,54.0,0.45681465124127246,0.10420265213065123,34.0,0.23073444400358487,0.6766572538091792,0.0,0.6766572538091792,0.1982930629464341,0.0,0.1982930629464341,0.41898432322875184,20.0,0.45510366143812697
"upper_yuv : [70, 140, 255], lower_yuv : [0, 0, 90]",0.4165699034822706,54.0,0.455353997944413,0.10416128747897342,34.0,0.2306428508462983,0.6765778421733858,0.0,0.6765778421733858,0.19208933517349583,0.0,0.19208933517349583,0.4189657972998617,20.0,0.45508353844640154
"upper_yuv : [70, 150, 255], lower_yuv : [0, 0, 70]",0.4966403023084326,5.0,0.5005881584476093,0.16712033422019543,5.0,0.18178001266056346,0.712291213786297,0.0,0.712291213786297,0.16573380405557403,0.0,0.16573380405557403,0.5923311032716876,0.0,0.5923311032716876
"upper_yuv : [70, 150, 255], lower_yuv : [0, 0, 80]",0.493778924882484,9.0,0.5008893414007918,0.16394980008925664,6.0,0.18151585009881985,0.7122629756085959,0.0,0.7122629756085959,0.153611551178107,3.0,0.157156433128371,0.5923311032716876,0.0,0.5923311032716876
"upper_yuv : [70, 150, 255], lower_yuv : [0, 0, 90]",0.4823327065446153,24.0,0.5013097310644035,0.11941679117605788,14.0,0.15424668860240812,0.7062887533553072,0.0,0.7062887533553072,0.13148141539991998,10.0,0.14217096136739316,0.5906034514711853,0.0,0.5906034514711853
"upper_yuv : [70, 160, 255], lower_yuv : [0, 0, 70]",0.24689493303820642,0.0,0.24689493303820642,0.2007079362895399,0.0,0.2007079362895399,0.3447620822549,0.0,0.3447620822549,0.1929791385450514,0.0,0.1929791385450514,0.2140903201909256,0.0,0.2140903201909256
"upper_yuv : [70, 160, 255], lower_yuv : [0, 0, 80]",0.2395024935521053,2.0,0.24026041283549804,0.18728371495322618,2.0,0.19352650545166705,0.3467322485591468,0.0,0.3467322485591468,0.1595164334222071,0.0,0.1595164334222071,0.21499354944135216,0.0,0.21499354944135216
"upper_yuv : [70, 160, 255], lower_yuv : [0, 0, 90]",0.2511445689070285,22.0,0.26017264164551646,0.12164750022104927,14.0,0.1571280211188553,0.4075005805529375,0.0,0.4075005805529375,0.13215192322264813,8.0,0.1406096463088976,0.2297805449259505,0.0,0.2297805449259505
"upper_yuv : [80, 140, 255], lower_yuv : [0, 0, 70]",0.4529610124241687,31.0,0.47624756530169643,0.20106167202656108,11.0,0.2444279150126821,0.6817100824043026,0.0,0.6817100824043026,0.3088974302622644,0.0,0.3088974302622644,0.42122347054281906,20.0,0.4575358386930621
"upper_yuv : [80, 140, 255], lower_yuv : [0, 0, 80]",0.4528298790470338,31.0,0.47610969040766077,0.20098605809963904,11.0,0.24433599219956117,0.6817100824043026,0.0,0.6817100824043026,0.3083075768965928,0.0,0.3083075768965928,0.42122347054281906,20.0,0.4575358386930621
"upper_yuv : [80, 140, 255], lower_yuv : [0, 0, 90]",0.4515158016643712,31.0,0.474728056807979,0.19851665482385836,11.0,0.24133397253096509,0.6816306707685091,0.0,0.6816306707685091,0.3033413848098557,0.0,0.3033413848098557,0.421204944613929,20.0,0.45751571570133664
"upper_yuv : [80, 150, 255], lower_yuv : [0, 0, 70]",0.5086328103531621,0.0,0.5086328103531621,0.23111863859927237,0.0,0.23111863859927237,0.7107968448906551,0.0,0.7107968448906551,0.18263777894730435,0.0,0.18263777894730435,0.5989444903817696,0.0,0.5989444903817696
"upper_yuv : [80, 150, 255], lower_yuv : [0, 0, 80]",0.5060596933749713,3.0,0.5084656824084497,0.22585189470594783,0.0,0.22585189470594783,0.7106592908756063,0.0,0.7106592908756063,0.17298137967695745,3.0,0.17697325766950264,0.5989651477666242,0.0,0.5989651477666242
"upper_yuv : [80, 150, 255], lower_yuv : [0, 0, 90]",0.4926871066228516,14.0,0.503812299353045,0.18660596675711968,4.0,0.19947534377485207,0.7030534613046493,0.0,0.7030534613046493,0.14200334445412638,10.0,0.1535483318081204,0.5969706888237233,0.0,0.5969706888237233
"upper_yuv : [80, 160, 255], lower_yuv : [0, 0, 70]",0.24302666699022074,0.0,0.24302666699022074,0.24264325273136325,0.0,0.24264325273136325,0.31259320142528163,0.0,0.31259320142528163,0.20318488455782432,0.0,0.20318488455782432,0.21252582099102035,0.0,0.21252582099102035
"upper_yuv : [80, 160, 255], lower_yuv : [0, 0, 80]",0.23861505653196602,0.0,0.23861505653196602,0.2366826201010242,0.0,0.2366826201010242,0.3150379477804712,0.0,0.3150379477804712,0.17931486036218527,0.0,0.17931486036218527,0.21367718544398492,0.0,0.21367718544398492
"upper_yuv : [80, 160, 255], lower_yuv : [0, 0, 90]",0.2601771156439129,12.0,0.2651966098364,0.19510494389155889,4.0,0.2085604572633905,0.4036136701391165,0.0,0.4036136701391165,0.14528999263850786,8.0,0.15458855216737238,0.23038277563503093,0.0,0.23038277563503093
"upper_yuv : [90, 140, 255], lower_yuv : [0, 0, 70]",0.48748086483617203,20.0,0.5033597203682949,0.34045217397963534,0.0,0.34045217397963534,0.6837680236765538,0.0,0.6837680236765538,0.4014777830451645,0.0,0.4014777830451645,0.4233875712177509,20.0,0.45988649977100526
"upper_yuv : [90, 140, 255], lower_yuv : [0, 0, 80]",0.4872934219818329,20.0,0.5031661718835213,0.34045217397963534,0.0,0.34045217397963534,0.6837680236765538,0.0,0.6837680236765538,0.4005842584613226,0.0,0.4005842584613226,0.4233875712177509,20.0,0.45988649977100526
"upper_yuv : [90, 140, 255], lower_yuv : [0, 0, 90]",0.48477546618120787,20.0,0.5005661979786413,0.33512415188153666,0.0,0.33512415188153666,0.6836886120407604,0.0,0.6836886120407604,0.391211866750492,0.0,0.391211866750492,0.4233690452888608,20.0,0.45986637677927983
"upper_yuv : [90, 150, 255], lower_yuv : [0, 0, 70]",0.5157293222968503,0.0,0.5157293222968503,0.2543502795715516,0.0,0.2543502795715516,0.7081270975944587,0.0,0.7081270975944587,0.19231852877355868,0.0,0.19231852877355868,0.6079545294671421,0.0,0.6079545294671421
"upper_yuv : [90, 150, 255], lower_yuv : [0, 0, 80]",0.5141058212193341,3.0,0.5165500644263991,0.251918386549278,0.0,0.251918386549278,0.7078504153917696,0.0,0.7078504153917696,0.18586628928867796,3.0,0.1901555113491859,0.6080789941799503,0.0,0.6080789941799503
"upper_yuv : [90, 150, 255], lower_yuv : [0, 0, 90]",0.5038446017110894,10.0,0.5119190344308183,0.24155465673249019,0.0,0.24155465673249019,0.6997487645374809,0.0,0.6997487645374809,0.1592257311909499,10.0,0.1721709125885881,0.6048851093274246,0.0,0.6048851093274246
"upper_yuv : [90, 160, 255], lower_yuv : [0, 0, 70]",0.23786840904281978,0.0,0.23786840904281978,0.26146055247010497,0.0,0.26146055247010497,0.28985500948485515,0.0,0.28985500948485515,0.20977684635661023,0.0,0.20977684635661023,0.20831273706707995,0.0,0.20831273706707995
"upper_yuv : [90, 160, 255], lower_yuv : [0, 0, 80]",0.23561193699204883,0.0,0.23561193699204883,0.26155873048490214,0.0,0.26155873048490214,0.29284224814090487,0.0,0.29284224814090487,0.19056537704136972,0.0,0.19056537704136972,0.21053425084937943,0.0,0.21053425084937943
"upper_yuv : [90, 160, 255], lower_yuv : [0, 0, 90]",0.2698379696600193,8.0,0.2732863782179748,0.24744196705247545,0.0,0.24744196705247545,0.4035132824387346,0.0,0.4035132824387346,0.16324435532666468,8.0,0.17369199406757121,0.2324102687805912,0.0,0.2324102687805912
